Subject,Story,Level,Context,Rating
5f1c38856ad5234ab56127ba,cake,1,1,3.0
5f1c38856ad5234ab56127ba,cake,1,2,3.0
60ff7016e9a3ae1f7fbc4aa4,cake,1,1,7.0
60ff7016e9a3ae1f7fbc4aa4,cake,1,2,4.0
6164179b41ce0f005655dbde,cake,1,1,3.0
6164179b41ce0f005655dbde,cake,1,2,5.0
61622414145e1376169571dd,cake,1,1,5.0
61622414145e1376169571dd,cake,1,2,1.0
5fb639fdd6a30e2be7a51f11,cake,1,1,1.0
5fb639fdd6a30e2be7a51f11,cake,1,2,7.0
57b98fa835624400013d6932,cake,1,1,5.0
57b98fa835624400013d6932,cake,1,2,5.0
5dc3dd5984799a2bf697cb17,cake,1,1,4.0
5dc3dd5984799a2bf697cb17,cake,1,2,4.0
61688fad358de828341e1e8b,cake,1,1,7.0
61688fad358de828341e1e8b,cake,1,2,3.0
614a8981d7f7b48dbc706a4e,cake,1,1,1.0
614a8981d7f7b48dbc706a4e,cake,1,2,3.0
5e98c5bb0d2c3a105229f8dd,cake,1,1,5.0
5e98c5bb0d2c3a105229f8dd,cake,1,2,5.0
615cd46525bccb9aebe87719,cake,1,1,4.0
615cd46525bccb9aebe87719,cake,1,2,4.0
61695db0cc100597e0eca6eb,cake,1,1,2.0
61695db0cc100597e0eca6eb,cake,1,2,6.0
617456b6098b0fb33926a8cb,cake,1,1,7.0
617456b6098b0fb33926a8cb,cake,1,2,3.0
611cd635e48d962ebe9f48e2,cake,1,1,1.0
611cd635e48d962ebe9f48e2,cake,1,2,1.0
616e8bf62e4db53dabbe76b9,cake,1,1,1.0
616e8bf62e4db53dabbe76b9,cake,1,2,4.0
6110e5a255444d0f5610c8a3,cake,1,1,1.0
6110e5a255444d0f5610c8a3,cake,1,2,4.0
5f1c38856ad5234ab56127ba,cake,2,1,3.0
5f1c38856ad5234ab56127ba,cake,2,2,3.0
60ff7016e9a3ae1f7fbc4aa4,cake,2,1,7.0
60ff7016e9a3ae1f7fbc4aa4,cake,2,2,5.0
6164179b41ce0f005655dbde,cake,2,1,4.0
6164179b41ce0f005655dbde,cake,2,2,6.0
61622414145e1376169571dd,cake,2,1,7.0
61622414145e1376169571dd,cake,2,2,2.0
5fb639fdd6a30e2be7a51f11,cake,2,1,1.0
5fb639fdd6a30e2be7a51f11,cake,2,2,7.0
57b98fa835624400013d6932,cake,2,1,5.0
57b98fa835624400013d6932,cake,2,2,5.0
5dc3dd5984799a2bf697cb17,cake,2,1,4.0
5dc3dd5984799a2bf697cb17,cake,2,2,4.0
61688fad358de828341e1e8b,cake,2,1,7.0
61688fad358de828341e1e8b,cake,2,2,7.0
614a8981d7f7b48dbc706a4e,cake,2,1,3.0
614a8981d7f7b48dbc706a4e,cake,2,2,2.0
5e98c5bb0d2c3a105229f8dd,cake,2,1,6.0
5e98c5bb0d2c3a105229f8dd,cake,2,2,6.0
615cd46525bccb9aebe87719,cake,2,1,5.0
615cd46525bccb9aebe87719,cake,2,2,4.0
61695db0cc100597e0eca6eb,cake,2,1,2.0
61695db0cc100597e0eca6eb,cake,2,2,5.0
617456b6098b0fb33926a8cb,cake,2,1,4.0
617456b6098b0fb33926a8cb,cake,2,2,4.0
611cd635e48d962ebe9f48e2,cake,2,1,1.0
611cd635e48d962ebe9f48e2,cake,2,2,1.0
616e8bf62e4db53dabbe76b9,cake,2,1,5.0
616e8bf62e4db53dabbe76b9,cake,2,2,4.0
6110e5a255444d0f5610c8a3,cake,2,1,1.0
